,Accounts Payable,Accounts Receivable,Acquisitions Net,CAPEX,COGS,COGS and Expenses,Cash Provided by Operating Activities,Cash Used for Investing Activites,Cash Used/Provided by Financing Activities,Cash and Cash Equivalents,Cash and Short-Term Investments,Cash at the Beginning of Period,Cash at the End of Period,Change in Working Capital,Common Stock,Common Stock Issued,Common Stock Repurchased,Debt Repayment,Deferred Income Tax,Deferred Revenue,Deferred Tax Liabilities,Depreciation and Amortization,Dividends Paid,EBITDA,EBITDA ratio,EPS,EPS Diluted,Effect of Forex Changes on Cash,Free Cash Flow,General and Administrative Exp.,Goodwill,Goodwill and Intangible Assets,Gross Profit,Gross Profit ratio,Income Before Tax,Income Before Tax ratio,Income Tax expense,Intangible Assets,Interest Expenese,Inventory,Investments,Long-Term Debt,Net Change In Cash,Net Income,Net Income ratio,Net Receivables,Operating Expenses,Operating Income,Operating Income ratio,Other Assets,Other Comprehensive Income/Loss,Other Current Assets,Other Current Liabilities,Other Expenses,Other Financing Activites,Other Investing Activites,Other Liabilities,Other Non-Cash Items,Other Non-Current Assets,Other Non-Current Liabilities,Other Total Stockholders Equity,Other Working Capital,PP&E,Purchases of Investments,Research and Development Exp.,Retained Earnings,Revenue,Sales/Maturities of Investments,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Short-Term Debt,Short-Term Investments,Stock Based Compensation,Tax Assets,Tax Payable,Total Assets,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Liabilities And Stockholders Equity,Total Non-Current Assets,Total Non-Current Liabilities,Total Other Income Expenses Net,Total Stockholders Equity,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,market capitalization
2003,44427167445.59517,1114313477.4073474,-1326781513.2262297,-538490522.8983525,27544128650.472427,30507434694.696915,9524017443.028492,-11662036489.151463,3473360710.3895683,4837957469.928903,10886619367.204182,3030553611.634532,4473737858.908927,3624344855.9981236,4821626469.165031,-1407873253.272606,-2304233994.5307,-5541560104.174511,476026467.20838535,8271923156.091696,15052449026.34154,1609931030.1269605,-1204814898.3449142,7902458996.7516,177014.26804973106,130.2878631323986,106.1685978841439,-235325268.85662222,7304906631.173617,16821132879.149504,9165832450.534922,10270820745.755562,25142752558.268196,15014900176.363785,5702685288.703143,240905.58146028864,1746701684.6422095,8948063608.775042,19498110917.49535,5558309192.888019,54335121987.61333,21271127825.20626,1443074781.2171495,3947247350.7934794,24814.634803295805,13996948758.536337,17502764558.728283,3657701891.114802,176940.96460478613,145285549234.81946,998266541.5567007,107407631547.77507,90296695962.35834,17011466765.642391,9191427105.451853,444756227.6941274,35393333427.25115,282696006.0656262,-33864227143.01442,11369383606.272184,2905161057.8808866,17853731498.87463,8570144355.873651,-40307070825.94489,15475690618.394688,20381930821.936142,37655676809.39655,31641311480.019215,13829904805.260172,17022354448.986578,8003240131.266505,9411488863.14888,473303848.9727189,54086861094.197914,8088049015.366902,165516046475.79053,129507317645.57025,104019726260.60464,138452091561.9313,164573205244.2329,29487710204.921253,30850658229.139122,3851460265.442667,26121113682.30387,1680989254.428618,1697733490.4005506,207430224849.67294
2004,66309495891.290306,-1961439777.9035597,-2121566658.3997922,-1949650125.7235277,32350306425.774296,35644513382.41108,8863841114.265678,-17484230325.954834,9642478310.999205,6189144010.851748,13702180068.207825,4584900580.876002,5731059506.6886015,1676786476.4303832,7858950161.53641,-2202577438.9727025,-3170247839.4046297,-7000473836.007815,372665665.46962076,18368951059.32261,8726143699.481838,1813184940.7629704,-1364648264.7406106,9313743135.330584,49965.29097943687,123.9017608305694,96.63499920414114,193824417.70585376,6478988754.417012,15881998800.790817,10995378316.077375,13561317601.285372,29106838576.64533,17263644107.960217,6725165058.878907,-354600.32490680943,2077899023.9605656,9815727766.942137,23047640671.20329,6100559387.329145,67589186254.07218,25113705020.92743,1146171883.2431595,4556001420.622557,31669.48033285719,16716895013.15155,19640258837.39854,4606118514.565823,49965.204374527966,175284868961.19177,1321454910.8996248,128368538019.29414,111843749464.59578,19128770445.106995,16328754840.338205,712414694.076915,38956994556.74572,1021026963.2520345,-41446920078.179436,11761248312.444918,3583074440.4850836,18371696701.2354,10084271126.915258,-42892840609.13178,17742865276.550747,22374320086.407875,44183940838.44086,28110783300.506638,15386276693.040302,19138566090.966995,18709694212.900177,11806726871.895449,369672574.5770692,67178892288.66588,18229100529.42556,197970148900.58856,155153059156.66043,131112951382.2568,165239386068.33075,196523398616.25485,35904091589.12735,34622608243.64853,4397160120.167051,31284012547.923485,1738356299.9051301,1761236842.1942806,162203934290.89948
2005,67361713907.88795,3109503197.9764805,-2371025633.9751654,-2562651070.9365754,34133031522.128555,38821330669.3219,7224210506.618245,-14119874856.71795,7454525477.60719,6009523948.881671,11488976737.41941,5128237555.530956,5553708922.98424,4528254402.79562,8295438964.517666,-1675452177.420755,-2956194238.0148115,-8072917057.919628,394968826.4840994,10662421202.736118,17863060582.630318,1720240248.061548,-2118628176.2580104,10229601504.817087,48521.716851028425,181.51532033228514,98.00809978361119,-235039700.77624404,4560627505.74892,18107768887.196342,9949498835.92705,12369272922.55892,29461584731.72701,17203204472.144943,7313890471.306666,-96488.71533016101,2262421253.97074,8904820826.995064,26021969309.437992,6128766754.613567,70414057522.77658,24066976649.744343,425376771.09472984,4916181741.026934,93715.18931035371,14692248361.3286,19605203291.29664,5487254736.042749,48236.742898122415,170225185010.5179,922873912.5537281,129378261130.91858,105293707359.09604,18469263494.457504,17036122046.48174,-1489541010.8321362,34949102488.055595,-3821707192.9386764,-49412488835.791664,8816163975.822556,2684973675.816654,20740263794.854317,10501854888.732302,-41888652852.97735,17645274488.09378,22854889983.936813,46366176119.22646,33063281940.687286,14784610196.172878,19067347011.93712,10913622516.904022,8371175927.512924,382976485.28047884,70117094454.41522,10493264880.760523,190802249847.28348,151264897024.00095,125023271750.32585,159596497819.78497,189703706095.21182,32391663677.634167,30415996694.757515,4677806176.14328,30107208275.42958,1685040092.819564,1709677780.2085192,161332614337.27405
2006,84244060021.01009,-332900864.50986904,-1634732095.1638129,-1839689136.8196638,37925496624.81421,43677091557.958954,6763562099.500099,-13521213973.160587,6774327841.711319,6715710607.354641,11929715360.22233,5989909240.367233,6052358924.020768,11686250350.528906,10139224865.475706,-2293252924.2144117,-4414205193.25494,-10846419175.819359,1966105899.766937,23131691235.73622,23137254701.897793,3496908108.40864,-1822611357.1823075,14994587267.893068,44598.23881136033,175.38316311202328,151.8427227263897,625813813.9931198,3769769076.7913694,15834421682.11327,12487733730.690334,18008705993.6123,32953011436.072136,19081717660.520756,9286276294.606047,672546.5289553995,2992205683.536317,10195600540.280725,28324968746.0093,7068279712.659805,74763250395.99313,31894637508.501682,61127815.149577916,6228959618.134383,139396.65307744712,17077302640.80746,21008966168.36212,5596686560.225466,87417.82629306559,194685947171.9342,1085800949.7672894,153814853472.1973,122423718474.11334,19283585786.651794,18462894811.87365,-6291632236.015765,44175879505.77911,-14532032982.960451,-58754049071.14911,12262433287.456184,4516891582.5377,31814473287.475246,17760478290.2741,-25995001891.8028,19590168821.738403,27800147102.102753,51765570136.02491,22530098834.863125,15188557839.159586,21047540433.817623,23548164504.987507,10278099153.314785,1967710520.202446,74153923534.94897,22934282522.46027,222724086251.15567,178733978737.06696,145792971759.78348,184225455956.33606,221326351341.20886,33908824788.009743,38433666215.031136,4639301810.754149,37097122457.97935,1787198383.7230556,1809535916.2229304,145292260029.91577
2007,80823666366.58197,3733132739.0430217,-1452397312.4928498,-2323878057.7405367,39508931652.7269,47718748597.38381,10146241283.295427,-14070297676.193214,4524098282.265725,7504595103.667795,14002161203.783072,6248460164.37144,6934738967.04393,9243306693.566214,11577875920.919764,-2919034956.5113516,-4849369563.833963,-11138187501.408234,370557385.36231846,27919161165.439793,24723560799.80697,2556812732.1437206,-2202958802.8444324,13345335485.439611,5460.081118253254,5788.958759114794,5765.803864864706,539918005.2738636,6725422162.27212,13747238755.726185,21177240868.88485,26254413149.55711,34224380266.770554,17598045872.59314,8516666588.733288,897976.3599814932,2649183468.7732816,18278499568.66601,28968993529.691513,6872151217.399579,73902940578.12927,35148316754.49385,686758400.520435,5667458454.136119,109869.89110356788,18424941065.14524,20302319364.092213,7677622277.844749,50816.64320204071,189195830979.55826,1614657222.6787696,143154781802.97205,117972271599.48964,18629173250.48247,17281186376.875023,-5356864791.647868,49965970727.1,-6962147933.050791,-52184993632.26354,13704676317.748293,3737163201.9996696,35318718243.69209,27330646887.45129,-24601412500.68403,18149964370.219624,29846888658.258533,56124982027.472275,20090571354.038746,13173631399.33887,19046417959.68203,28275773330.57854,11185382222.163673,401464398.24549556,73205226140.2391,27678039418.81069,217940019729.27393,171617042351.11325,136376267627.94655,178963481988.8148,216315706913.04446,40647105211.893265,42115151898.30845,5953906245.378514,37339610307.11502,1860864017.5320082,1886342719.2679656,133179491817.76187
2008,44728696986.83552,179268804.03140634,-2061591621.1266289,-1630602542.6160364,43387818188.61848,56173228713.19693,9767236562.861937,-7093657490.788209,-3013305123.1007094,6783922069.221978,9060490284.905628,6974784727.589202,6491973424.870329,-325430157.03807604,12077456896.825663,-1324455191.9766915,-4343556960.885333,-5311261732.785688,444741394.29323995,24758831802.537376,8374066178.360491,2903237001.941282,-2482770535.274659,12555828700.964272,37366.79940453207,86.06595366462237,86.02332560696067,385926380.5763877,5662869124.0887575,5833260518.450806,23047894950.931545,27334507930.608788,31770142915.309856,7994195963.201799,8699880022.08953,-423145.62063184765,3270679019.084819,19949602781.17213,30129787323.728737,5210202197.642795,25820038837.31269,19480557857.527424,-481604476.92254794,5267781773.630715,22044.611353757722,12669173537.387707,15339439037.418978,11208442890.780548,38921.06056931629,82342179886.41609,-2016460041.4092987,32050488928.17083,33787713044.91932,14153546434.57675,4213356216.611109,-1804164743.3054368,37158684632.040596,1960229397.2640743,-4384358297.601207,11283187715.657698,4039902114.07656,10938375621.655014,31196382529.029373,-10703109183.300451,8725746060.887842,30508825655.855648,67146746622.13392,8508554300.89653,5801803510.75702,13419647767.289845,24363593993.62146,4983678267.944506,510072744.69840723,25266791613.362137,24128818921.81066,107156639857.74236,53657055558.25475,45548990382.18843,74904646961.87067,105911512714.41074,44964143686.93797,27460734733.03135,7607350048.757448,31006562276.413532,2002279448.6153111,2026933182.0352628,52823797316.98672
2009,68242196001.914955,3787116600.265391,71408799.80652075,-80433451.20478082,34607417648.82384,46099115940.45282,9793384044.323298,-1410376195.825282,-6708974343.870817,8937223796.246801,13040750927.250927,6500286467.950498,8182733271.946706,498393076.42387474,10766801242.754564,-872645311.9461731,-3249535002.3937516,-6932941761.306189,1026320571.8936671,25870536703.315903,13795639294.360514,1817871156.6139565,-1991768186.2726126,9177307204.661257,18156.942876069563,146.32083936519777,146.26988075607824,-1336329022.8906007,6659483004.985276,12193749332.065216,16928442841.958683,18158338216.7828,26830542657.30897,9626406030.107782,5930913714.499733,-391417.85458134353,1704148537.5449924,13481520584.92646,4469682454.090287,5858259562.779487,26298187157.777924,25111682696.613426,1682592379.8578963,4170695304.4910274,-2157.1782053703105,13300916041.395992,15817004273.913359,5578146739.934261,18150.727066793977,104499084833.67783,-662594037.2912403,46291750074.799324,49344363903.01366,13918801079.940819,2878975402.8369594,2530628063.6543474,44804405561.87143,3000297476.07304,-8258118442.575574,17600032398.493332,4303687097.949393,12653286841.914968,24686191189.516487,-10963968647.851233,10465318386.263538,28275883637.379406,51777701279.83905,10272816223.912544,11328440336.92997,13187255174.261553,23272975502.785286,9394339100.686302,1216446910.8548267,25427740220.86227,25162678542.01481,130538458169.08435,69881760992.30087,58926912992.43719,95097873205.21078,129313708773.49086,45147436729.950005,34598484858.72516,4910773610.231198,34209254546.80566,2192063523.024165,2211870782.218618,57494209699.55425
2010,60020006518.74627,-2530878323.6519094,91090296.12917389,1082597617.707913,38446830054.875404,48653277014.093605,9951659328.068417,-5065271265.127299,-4197258046.5739365,8828082836.280537,14603343148.889587,7426239695.215337,8093877276.769349,-2258629943.837748,11866214063.708565,-3773799845.084345,-3284639050.8832335,-6478337182.97827,758403255.8020056,11230160015.104376,13223812255.876926,1834858244.356693,-1721514120.8883593,10806303409.872831,-3640.1461534997134,193.10953705394593,193.07358467009522,-554576257.2742109,6528540430.1125,12294682347.53505,18832470595.931347,23732329001.52815,27200305927.39186,9329001388.080542,7950493196.367217,109470.13191656295,2288663769.7011995,13260988038.022108,3499887663.734149,5699282702.563297,24436200435.28969,23881243910.19981,667702686.5668662,5478052492.254027,50182.25287032901,13505276478.93281,14303128615.87139,6826019584.107475,40438.983667485845,96485540207.62988,-489454771.71207607,33809597313.519684,36031862039.71151,12585307759.640203,4430395979.252891,-222628768.39644125,44034923858.547646,4582788191.778257,-6934249360.428598,16102625740.271624,3969620600.5242414,7387440986.945773,29118669887.14354,-10464205755.213175,10143620398.939629,30356305222.03386,56278979113.63888,9710887324.101896,5252914500.768294,12384735265.295544,6035233586.395787,8394314849.379236,806308012.7447957,23891132970.741245,10734631168.028206,127057540326.93384,59152669451.94953,45659745420.01036,89428546510.7582,125601046998.49832,50763573170.60214,33390196817.71615,4788580587.153445,36166491666.768135,2282355045.4808702,2314560250.683684,63904418404.96555
2011,46764552441.68266,-10142569309.861706,-1054844461.8713291,219128727.08242568,44918582866.80384,55971382887.56196,11157464763.796236,-6400645142.541689,-4161333462.97491,8413159469.003062,13328942247.049082,7331986186.043597,7932309333.264996,-9362458159.38935,12497586392.259214,-3321526267.923537,-4133452166.9692535,-6779915254.1867,1081916700.831683,32573723914.622326,10207767027.091763,5622371255.140418,-2452400131.7316523,12467959436.689219,-45680.37846772692,145.93393480185267,145.89111351469776,-199806236.29602277,6768265828.030993,11659052322.389421,20125549456.457954,25155465737.180363,29266831233.98364,8391974464.431611,9736293431.841087,8181.548869198648,2952304611.188337,16866465986.898426,7169735825.505391,5234310113.892326,22534542287.43035,20527832112.628895,600346869.9039539,6615570497.280108,5358.802987679541,12665484902.06946,15176614854.783445,9059215973.51812,-45686.257772348756,75305861003.4828,-881436010.2993754,9752248983.856184,33027016137.774,13580111044.941727,4854239975.666322,-227768992.2809301,43818097403.98746,11402141019.285881,14649005000.4864,13396633869.813244,2960430564.3875475,-5645904346.593343,32114687012.31936,-11201572479.839468,9400890080.86202,34995624823.29288,65745733654.877785,9738681154.782866,11165834961.71113,13488931494.555841,26040038445.583645,9149489374.146866,1083232424.854785,21825101664.921135,31912687461.22503,118071953219.23685,35182074805.56217,44022699421.45042,78664004575.69789,116565771617.3324,72543005180.94809,31290118515.704113,1794265780.0680995,37896264203.40562,2464228153.5151887,2499913164.3978415,65493929961.40815
2012,54986117898.90133,-3386180325.508219,-214904507.31397247,-421390968.76130927,46801111255.872665,56682013375.48117,10978102573.949518,-7145572053.837969,-3353237604.690538,9410859631.884907,22040711015.338436,8273888982.234705,8762596093.861433,-1938454844.607275,6755504927.616745,-4461559356.585299,-5698485781.699517,-8178780271.430981,558180992.453366,7679212509.418049,10684830018.37895,6073585737.822599,-2510875370.1506476,13602826250.568718,-0.07054964135497606,221.90244491979084,221.86252229507392,-508117777.77395386,6153959925.087955,12978564603.038027,21243283506.97253,26455931287.108646,30131643472.50516,10007570254.284342,10141483592.230158,-0.16333388627223577,2969054102.794073,17554484064.36874,7391384441.676187,6565669992.500562,26597534686.279736,21651674093.563396,483976828.9343048,6909771578.986515,-0.2152683056984171,13807044207.706427,13726072855.656944,9043820354.70216,-0.12154652084552355,81429547717.00423,-504213247.1893578,1582217668.8911848,29609302562.72245,11885149677.328848,6776087713.876605,-1099658849.5718684,47515150065.67825,2626118610.2973375,19909018384.848328,13957731121.646357,-2961784650.16632,-10119456457.592762,33723189010.116093,-12923086885.391272,11058476569.805664,38928413554.7907,66905955546.32714,10937477163.374376,5057350059.030372,12175375270.603079,8004922452.863381,13802377077.74342,595294995.005005,26073238672.12252,6957183622.163375,132020868014.67905,36033513908.53516,40926785044.3439,88378012433.41862,130461670931.19124,84270801112.69092,33618294132.575535,6036704995.359887,42073301366.477936,2341920941.340108,2374908009.23156,74220696884.11984
2013,59147091529.11536,-725458263.3890619,1283158441.2591054,718108891.6914071,44941319010.94311,53632147470.11036,11655846257.53953,-6657401837.192549,-4018356691.6355786,9953478029.41282,20749179287.385147,8624096704.068369,9556958356.892797,-727956344.7376655,7410246117.219647,-3382215428.486734,-4470919901.263393,-5966872384.93891,642750205.2412732,7299048299.726669,15511647056.607874,5416881135.106073,-2908742218.013207,13433673469.443665,0.23914941971583875,384.36989037465264,384.3243937137784,-444664366.8474427,6987270556.4064665,12674818722.577991,20358523248.60295,26424345333.314014,29264625471.992214,10542109163.176186,9939701658.392694,0.15508113823256187,2830396696.004749,14958457893.459543,4060756088.978536,6959068936.664961,28415744558.336468,21501295991.960297,933018497.1728239,6943258567.307041,0.10384111964471927,13009442484.197872,13044799941.94549,8434448378.754721,0.1861138546551536,80421475232.75699,794480403.5987462,4854291870.714078,32555034541.90056,10954492355.90725,5395012944.289307,-1289451358.653447,45589631110.18696,1805618942.4228003,23465164543.25057,9721319269.414572,-2926610060.073221,-14256760680.706713,31890430246.007862,-14702577658.714306,11738462726.92349,38958560719.89163,63640520289.91542,13198749509.979015,4394324451.734274,11108748644.617292,8177274996.374741,13398894214.28576,915631492.2384784,25992865406.701355,6622438759.960393,135000429121.85844,35975189719.86081,44018945324.104385,89596752263.7642,133518316673.58168,87911662280.65508,32657656280.018993,6269643757.68292,43898173313.19675,2202990000.8091793,2231928014.050774,87736888709.8219
2014,86360162581.25542,522753247.06068206,-127760884.63163929,-1173262395.9584386,46179017523.19443,55687468035.43912,11839618779.107798,-7003760856.905974,-4018541088.5297074,10478546931.122976,21776852761.430214,9529944333.760862,10160755869.779245,3155650770.9551797,7921235974.808563,-2315935177.419918,-4524331549.106277,-5540520498.704068,658317622.1084024,6427763220.306396,14945414381.909126,5043241636.680006,-3215331310.3215485,13599033784.591547,176251.37569258618,308.39330567691763,308.34037420260415,-2105635196.3868,6712665876.9309435,14449559670.227427,20421094602.430992,26234690383.979385,31377591579.028393,11811654264.147648,9813850417.698387,-0.16207224085278685,2667013533.373252,14105895249.56927,3344571387.9319806,7329719676.129804,29618413693.11814,22262303443.239758,631657597.3411815,7056980882.726019,-0.21401556671572367,12466488435.109703,13781853577.194876,8395273814.78669,152252.59795932908,83905275873.99179,408042166.48116934,5567864859.488975,349621458.6131023,11125413785.465042,5969603960.369315,-816392846.8144696,48103410519.2037,-1996049098.9323158,20438512540.2926,10772932475.340899,-2785180173.3409348,-7758538225.106511,32001206828.415123,-19508576826.03353,13474692809.77197,41752555902.0728,65721281065.49612,17960928693.140114,5038937320.708618,11556131510.211239,6754720055.510551,13667551690.76479,1006193522.5913898,27370152960.45016,5665762811.437331,135433756739.16089,36823577143.75134,39845217413.03006,87948017629.02225,134749531159.42262,86435661612.61375,33903913294.60013,7529581225.549032,46806717975.30596,2324943277.241488,2345155125.462654,107479440354.3741
2015,56643044730.21455,-30228749.803924758,-1433602633.20941,-1085000207.0560699,43925003064.99388,54335675799.55557,12711738014.007496,-9422804993.966728,-2463394195.9527936,11175432558.294876,25563256087.753895,10549335852.506792,10814554354.903997,2513361422.447232,9949123381.687595,-3433921335.079106,-3260878076.84677,-6759174033.837519,593672554.4021661,5836452624.247729,14283547425.500559,4663690654.045822,-2972033896.2796054,13868858064.026901,30542.31387858213,338.77514351262806,338.7296753990634,-678685462.872803,7735638795.866402,14325478115.045506,20953296924.16707,28512153509.492035,32300264193.07574,11520657833.871462,9898166812.836313,-367755.7554117314,2713410757.2813315,15017666325.011562,2576531142.078068,7825876285.369718,29816110039.039993,23923249648.787895,265218004.94556507,6992467172.79269,-232336.66177296333,9810125057.972733,16285569412.4833,8451066168.036584,14841.05536771585,86013737084.11575,-775984983.7132587,7962307774.4477215,29646109366.843494,13108036625.172205,7670704425.851292,-355973124.52175117,49646867799.078606,-1013035915.519315,19909763519.981598,13253800946.781864,-3116497529.698088,-5089805727.839797,31762762205.054417,-21346044170.85073,13896523400.37679,44668824100.86765,64684062379.08252,16541258613.61498,5541128758.642191,13316964697.76347,7220134088.871101,16709609912.664982,1212514541.5868871,26575755363.038773,5438684379.168287,140656535674.33398,39970705004.87277,40732259778.07092,90423008053.30093,140085374355.1405,89059628652.73523,36597005575.348625,7521643786.0066185,49653436932.998856,2255716150.2751894,2280606140.0369034,127709985566.98521
2016,70143811375.59349,-1359123312.0928755,-2111264179.769306,-2199321155.463376,45619014844.72661,56194085476.87508,12541373708.093578,-12190577119.743391,-3093334115.641303,11851225389.234566,29309259941.294758,11452340344.528448,8598366569.426172,787628724.1267725,10943550373.222172,-3398147632.201546,-4143534122.321795,-5594212018.900662,700674984.820849,5974057836.530599,14981828097.65216,3635365660.1924753,-3194209909.514254,14200662746.538713,-14440.440386272565,357.3807978868679,357.33353334403455,-854573420.1616406,7803908271.320285,15614545413.221033,22145800980.839546,31214424598.936954,33517275919.92162,13099957487.550749,9610536062.568365,443055.07395040966,2278376587.4763813,15978553981.546045,1352926844.5128343,7769929033.228244,33209546661.611958,27139025166.2099,-2853973775.102262,7275921227.571029,291530.04105095536,10820483436.156744,15550818674.466152,7819658405.002434,-59492.0945852894,98139690188.00406,-701220186.2691336,6090552942.802387,36254346192.7539,11890402339.065886,7554522197.908991,-396583560.2358892,55608224040.735756,-274243676.19152534,26126210305.11233,14932127227.019167,-2824188516.2424593,-10387357378.288975,33435188109.62017,-26813802208.17018,15735729860.515509,46659328921.08669,66015178258.76817,21144052120.9126,5660357438.336189,12227124483.06352,7356948470.214606,20163468905.52979,1309029919.6950974,30202325201.56092,5513536091.422495,157112247502.551,41167315020.31733,47888137736.38095,103422099927.64732,156436738678.4208,101367099471.99783,39818543306.86821,8231310796.699768,53005638730.0549,2235647953.93356,2261187342.8829284,148566451696.79367
2017,80409529252.849,-2485692179.336096,-1608905002.3829105,-2494780999.726465,52156216821.605,65032294749.54526,14873133464.590616,-12604357931.777409,-1576750139.2751267,10290495217.057629,33925263597.07664,8915179399.054398,9732455718.04069,1330172417.0439432,11918554666.71674,-2924283130.3469124,-4493316415.040933,-5544780683.597466,113077863.28048863,6017411670.379414,12435534420.11638,4027554887.314907,-3809558793.461008,14991249229.179499,1013.7261606569685,689.2170902772509,689.1322569124736,-401483258.02371156,9872412969.51566,17071413123.536272,22333696548.43758,31008091094.870205,38161445170.89611,14636532948.510332,10537690537.692192,0.1613065553211326,408088860.7109335,14748793876.112347,1505249986.38941,8612923044.705694,41779226923.78531,29631953633.90243,817276318.9862753,9321928938.321283,0.12803301752088098,11991818270.793568,17508308535.69787,9013996522.850004,1013.6683124528837,104231832384.55531,963407181.6075852,7757360647.190163,41116353903.54521,12462147891.320162,9534027415.515524,-1222383702.3351045,57788841647.390366,-455071026.76271224,29577719626.91432,11781855813.31741,-2087685403.9570773,-10569137014.58873,35238549731.999054,-34869920944.84283,18290313273.88294,50231737017.84316,75659479639.80754,29857243551.325645,6218098855.019915,13061235312.457304,7958172851.228138,27165590465.37003,1151028484.5691745,39306556704.712364,5808345576.770718,174429052521.41968,47994484355.98793,55396972265.658165,113020287143.5252,173635682810.03522,112651977923.41194,40348675787.833466,8937765767.480381,60621584483.06864,2201302788.1474357,2225673201.2982693,222702260769.52747
2018,77582114030.8077,-1317083425.7758055,-995265451.257876,-3172114436.2012777,56706688036.4652,72681968992.59978,17651416334.08141,-8247448534.202883,-8341276644.557995,10787450228.784962,33363186113.822445,9662710469.784328,10640442385.055166,712414814.8985736,12723829396.743166,-3274434932.0758257,-6563306173.571806,-9682845743.008583,49863113.63139784,6128168468.302196,10770486051.919264,4621228074.636971,-4097178913.529324,17894141467.27212,9144.466349030808,68.26077606893455,68.17033852328277,-3953626636.111744,11266836383.354849,5529083295.111712,23635675638.746834,32607419496.127186,40996391908.511696,13518801547.396412,11984348727.598673,0.175835945027339,2708979348.040975,16320441008.178282,1688243589.2608316,9208666526.049562,40681892502.02895,30005620470.75684,977740180.6634535,9210367498.77992,0.1394518320795584,13315843680.875889,19727413152.85319,10906452353.747507,9144.389439020677,108227475613.39886,-2863833078.473437,7207583045.603179,39579436990.52194,13235791152.780687,9561594281.227036,-1475449662.0968354,59448140724.53235,2277532173.669316,30074089379.503944,13410133542.390778,-2037828478.4214501,-11315014444.71175,37424755385.90417,-26043290466.197025,18213561337.116184,54354267006.05607,84161928787.68599,26323698425.9991,7119786419.784927,14094797510.517067,7886946640.922093,25450642582.791924,2027496203.8198898,37722530566.04283,5998416713.294891,176618230976.34546,49273395785.7626,54549799197.66812,113908100739.43326,175766112318.90054,114919694649.92657,41469617091.81341,8450178595.738463,61855498398.83101,2177469174.4936786,2200255685.0565796,233796454469.32513
